"TractId","State","County","TotalPop","Men","Women","Hispanic","White","Black","Native","Asian","Pacific","VotingAgeCitizen","Income","IncomeErr","IncomePerCap","IncomePerCapErr","Poverty","ChildPoverty","Professional","Service","Office","Construction","Production","Drive","Carpool","Transit","Walk","OtherTransp","WorkAtHome","MeanCommute","Employed","PrivateWork","PublicWork","SelfEmployed","FamilyWork","Unemployment"
48453002304,"Texas","Travis County",3657,2195,1462,41.4,45.7,4.8,0,6.2,0,2302,64286,12529,39875,4503,20.7,43.7,53.3,12.6,17.7,10.7,5.7,63.5,8.3,9.8,3,8.4,6.9,23.8,2820,82.7,12.6,4.3,0.3,3.3
48453002307,"Texas","Travis County",5849,3206,2643,48.5,37.5,8.5,0,2.4,0,4141,42176,4753,26517,3316,15.4,12.4,25.1,26.2,30.8,7.9,10.1,68,9.1,7.9,0.7,7,7.4,21.5,3541,80.2,10.3,9,0.6,5.9
48453002308,"Texas","Travis County",6851,3761,3090,45.7,43.9,5,0.8,2.6,0,5121,41844,8858,25142,3333,26.2,44.1,37.6,21.7,27.6,3.2,9.9,67.5,8.7,5.7,5.6,4.5,8,22.6,3881,81.9,11.4,6.7,0,3.3
48453002312,"Texas","Travis County",8705,4567,4138,78,12.4,8.3,0,0.7,0,3697,31875,7234,16226,3554,33,36.4,19.8,28.3,23.8,16.2,11.9,66.1,23.8,3.7,1.9,2.1,2.4,30.8,3471,81.6,10.1,8.3,0,12.4
48453002313,"Texas","Travis County",4388,2178,2210,48.6,28.6,16.8,0.6,1.8,0,2586,40760,6697,22768,2501,22.1,33.6,36.5,20.1,21.6,7.6,14.1,67.4,8.7,12.2,4.7,2.7,4.4,25.8,2666,79.9,16.4,3.7,0,4.9
48453002314,"Texas","Travis County",5112,2625,2487,48.1,30.3,15.7,0,4.1,0.3,3329,41594,8011,25071,4279,24.3,55.6,26,28.5,21.1,11.8,12.6,73.2,6.3,6.7,6.1,3.4,4.2,27.7,3489,81.3,12.9,5.8,0,4.5
48453002315,"Texas","Travis County",3134,1915,1219,65.2,31.3,2,0,0.8,0,1576,35216,3393,24245,4076,19.6,33.7,29.7,30.3,11.5,22.7,5.7,67.5,16.8,10.4,2.4,2.1,0.8,25.4,2192,82.6,10.2,7.3,0,3.5
48453002316,"Texas","Travis County",4944,2926,2018,58.6,28.1,8.3,0,2.6,0,2717,35516,3171,22130,3936,30.7,65.1,28.1,29.8,18.2,13.9,10.1,56.4,12.9,17,4.7,3.7,5.4,24.2,3311,88.8,5.9,5.3,0,3.6
48453002317,"Texas","Travis County",5931,2867,3064,46.9,23.3,16.9,0,8.2,0.7,4852,26163,7094,14973,2389,55.1,59.2,35.1,29.1,24.7,3,8,70.2,5.3,16.7,0,4.8,3.1,23.8,3929,81,15.7,3.3,0,5.7
48453002318,"Texas","Travis County",8671,5061,3610,50,19.1,15.8,0,9.8,0,6428,37705,10167,18825,3427,39.5,44.4,34.9,27.2,27.9,4.3,5.7,70.7,7.6,16,1.3,3.8,0.6,21.9,5257,81,17.4,0.8,0.8,2.5
48453002402,"Texas","Travis County",8464,4215,4249,44.3,46.3,5.8,0.2,2,0,6636,59018,10698,30714,3425,17.6,37.3,45.1,20.6,18.7,6.7,8.8,85.3,5.7,3.6,0.6,0.3,4.6,22,5809,76.4,14.6,8.7,0.3,3.1
48453002403,"Texas","Travis County",2764,1497,1267,39.3,55,4.1,0,0.4,0,2138,64773,14554,29248,4347,23.2,42.5,30.7,29.8,24.3,9.6,5.6,78,9.4,3.1,0.4,1.6,7.6,25,1715,75.3,13.4,11.3,0,4.1
48453002407,"Texas","Travis County",5781,2885,2896,38.5,53.5,3.5,0.5,3.2,0,4482,83824,7548,40142,5271,6.4,14.5,46.3,16,22.7,7.4,7.6,83,7.9,1.5,1.6,1.2,4.8,33.3,3349,76,19.9,4.1,0,3.2
48453002409,"Texas","Travis County",3530,1896,1634,46.8,49.7,1.7,0,0.2,0,2737,63099,6661,32187,4233,12.8,10.4,35.4,20.5,27.9,6.9,9.2,72.5,8.7,2,2.1,3.4,11.3,28.8,2082,70.6,13.6,15.8,0,6
48453002410,"Texas","Travis County",4253,2313,1940,53.3,38.4,2.4,0.2,3.3,0,2859,49263,9395,26568,5318,20.7,34.8,30.1,22.9,20.5,16.7,9.8,68.8,17.5,5.2,0.1,4.4,4,24.5,2347,78.1,10.5,11.4,0,6.9
48453002411,"Texas","Travis County",6828,3370,3458,84.6,9.3,5.6,0.1,0.2,0,3095,37813,5952,15954,2200,29,41.2,17.9,24.7,19.6,28,9.9,72,16.3,4.1,3.2,0.1,4.4,24.1,2987,81.3,9.9,8.8,0,8
48453002412,"Texas","Travis County",6083,3050,3033,85.1,8.8,5.1,0,0.7,0,3281,57946,7638,17745,2083,16.9,27.3,16.1,27,19.7,25.7,11.4,78,15,3.5,0.4,0,3.1,31.2,3110,79.2,11.6,9.2,0,2
48453002413,"Texas","Travis County",4955,2522,2433,78.5,9.9,8.3,0,0,0,2028,40130,11215,13757,2139,35.9,58.2,13,28.6,22.9,23.4,12,74.7,8.2,9,6,2.1,0,29.9,2162,81.9,9.9,8.2,0,6.9
48453002419,"Texas","Travis County",4773,2282,2491,68.1,13.6,15,0.3,2.6,0,2626,38225,3106,19373,2398,23.6,45.1,23.5,29.6,29.2,12.4,5.2,65.2,18.4,11.1,1.3,2.8,1.1,25.7,2916,83,13.4,3.6,0,4.4
48453002422,"Texas","Travis County",5998,3017,2981,52.6,38.4,6.7,0,0.2,0,4437,56078,16146,28035,3592,6.6,6.9,30.2,16,28.4,14.4,11.1,81.1,7,7.7,2.9,0.4,1,25.6,3664,78.7,14.4,6.9,0,4.1
48453002423,"Texas","Travis County",5705,2938,2767,35.9,53.8,6.8,0.4,1.3,0,4429,64948,8020,32867,3218,5.7,2,34,20,28,6.2,11.7,77.4,6.9,11.6,0,0,4.1,35.1,3745,74.5,17,8.5,0,1.7
48453002424,"Texas","Travis County",3945,2228,1717,44.6,49,5.7,0,0.5,0,2771,49643,5327,24971,3051,14.8,15.2,38,16.9,25.7,12.3,7.1,70.9,16.2,2.9,0.5,3.8,5.6,30.4,2094,74.5,15.2,10.3,0,7.7
48453002429,"Texas","Travis County",1589,807,782,56.1,29.5,12.9,0,0.9,0,856,55317,8947,23819,5988,28.8,61.2,38,24.5,25.5,8.5,3.5,79.5,20,0,0,0,0.5,24.3,779,84.1,13.6,2.3,0,7.2
48453002431,"Texas","Travis County",8803,4881,3922,66,25.9,5.8,0,1.7,0,4655,60337,6606,21265,3637,27.9,49,26.9,23.6,22.7,12.9,13.9,76.5,16.4,0,0,1.6,5.5,23.6,4309,79.9,15.3,4.8,0,4.4
48491020406,"Texas","Williamson County",6668,3341,3327,29.2,53.3,8.3,1.4,4.7,0,5210,53340,8794,33649,5412,11.4,25,39.9,18.1,29.3,5.6,7.1,79.1,9.8,1.6,2.3,1.5,5.7,25.8,4646,83.8,9.8,6.4,0,3.1
48491020510,"Texas","Williamson County",10286,5235,5051,13.7,50.8,4.7,0,28.6,0.5,5769,113213,9346,43589,3857,4.9,4.5,62.7,7.9,23.3,2.6,3.5,69.8,11,2.1,0,1.7,15.3,31.8,5047,83.1,7.5,9.4,0,4.6
