STATEFP00,COUNTYFP00,TRACTCE00,CTIDFP00,NAME00,NAMELSAD00,MTFCC00,FUNCSTAT00,ALAND00,AWATER00,INTPTLAT00,INTPTLON00
"48","453","002419","48453002419","24.19",Census Tract 24.19,G5020,S,"1354200","0","+30.1912902","-097.7609149"
"48","453","000801","48453000801","8.01",Census Tract 8.01,G5020,S,"1292330","0","+30.2669542","-097.7014857"
"48","453","000700","48453000700","7",Census Tract 7,G5020,S,"1608177","0","+30.2776908","-097.7410693"
"48","453","000604","48453000604","6.04",Census Tract 6.04,G5020,S,"674723","0","+30.2854648","-097.7477653"
"48","453","000603","48453000603","6.03",Census Tract 6.03,G5020,S,"783310","0","+30.2919907","-097.7462505"
"48","453","000601","48453000601","6.01",Census Tract 6.01,G5020,S,"1113393","0","+30.2874117","-097.7380441"
"48","453","000500","48453000500","5",Census Tract 5,G5020,S,"1151582","0","+30.2960628","-097.7341731"
"48","453","000402","48453000402","4.02",Census Tract 4.02,G5020,S,"1544473","0","+30.2841415","-097.7155190"
"48","453","000401","48453000401","4.01",Census Tract 4.01,G5020,S,"2182614","0","+30.2882481","-097.7250556"
"48","453","001823","48453001823","18.23",Census Tract 18.23,G5020,S,"2460146","0","+30.3700995","-097.6868974"
"48","453","001822","48453001822","18.22",Census Tract 18.22,G5020,S,"1748927","0","+30.3741925","-097.6963167"
"48","453","001821","48453001821","18.21",Census Tract 18.21,G5020,S,"2664129","0","+30.3809890","-097.7086031"
"48","453","001820","48453001820","18.20",Census Tract 18.20,G5020,S,"1975694","0","+30.3718014","-097.7148158"
"48","453","001819","48453001819","18.19",Census Tract 18.19,G5020,S,"895416","0","+30.3634311","-097.7026509"
"48","453","001818","48453001818","18.18",Census Tract 18.18,G5020,S,"2569058","0","+30.3602487","-097.7222365"
"48","453","001817","48453001817","18.17",Census Tract 18.17,G5020,S,"2506873","0","+30.3666405","-097.7346652"
"48","453","001813","48453001813","18.13",Census Tract 18.13,G5020,S,"3532604","0","+30.3451651","-097.6875075"
"48","453","001812","48453001812","18.12",Census Tract 18.12,G5020,S,"2333747","0","+30.3296785","-097.6979347"
"48","453","001811","48453001811","18.11",Census Tract 18.11,G5020,S,"1434344","0","+30.3261511","-097.6850227"
"48","453","001806","48453001806","18.06",Census Tract 18.06,G5020,S,"1932793","0","+30.3535088","-097.6977874"
"48","453","000303","48453000303","3.03",Census Tract 3.03,G5020,S,"4585940","0","+30.2971233","-097.7035276"
"48","453","000302","48453000302","3.02",Census Tract 3.02,G5020,S,"2052368","0","+30.3025596","-097.7265032"
"48","453","000301","48453000301","3.01",Census Tract 3.01,G5020,S,"2673030","0","+30.3124205","-097.7221197"
"48","453","000204","48453000204","2.04",Census Tract 2.04,G5020,S,"1824906","0","+30.3071666","-097.7444637"
"48","453","000203","48453000203","2.03",Census Tract 2.03,G5020,S,"1207529","0","+30.3126297","-097.7366643"
"48","453","001754","48453001754","17.54",Census Tract 17.54,G5020,S,"3211152","0","+30.4065719","-097.7373465"
"48","453","000201","48453000201","2.01",Census Tract 2.01,G5020,S,"2991451","0","+30.3261576","-097.7388776"
"48","453","001805","48453001805","18.05",Census Tract 18.05,G5020,S,"1532558","0","+30.3571580","-097.7103175"
"48","453","001804","48453001804","18.04",Census Tract 18.04,G5020,S,"2185801","0","+30.3419104","-097.7073127"
"48","453","001738","48453001738","17.38",Census Tract 17.38,G5020,S,"4968712","456","+30.2186217","-097.8606963"
"48","453","001750","48453001750","17.50",Census Tract 17.50,G5020,S,"6074822","0","+30.2227879","-097.8190740"
"48","453","002004","48453002004","20.04",Census Tract 20.04,G5020,S,"889349","0","+30.2360095","-097.7882588"
"48","453","001841","48453001841","18.41",Census Tract 18.41,G5020,S,"9592621","0","+30.4276588","-097.6310033"
"48","453","001853","48453001853","18.53",Census Tract 18.53,G5020,S,"1532869","5957","+30.4434556","-097.6799551"
"48","453","001753","48453001753","17.53",Census Tract 17.53,G5020,S,"2625605","0","+30.3900742","-097.7392913"
"48","453","000102","48453000102","1.02",Census Tract 1.02,G5020,S,"5488401","156471","+30.3263034","-097.7667937"
"48","453","000101","48453000101","1.01",Census Tract 1.01,G5020,S,"3116837","0","+30.3231718","-097.7532614"
"48","453","002418","48453002418","24.18",Census Tract 24.18,G5020,S,"33881369","7322","+30.1307311","-097.7625203"
"48","453","002417","48453002417","24.17",Census Tract 24.17,G5020,S,"119710348","18763","+30.1170050","-097.7272399"
