,Census Tract Start,Day of Week,Hour,num_trips,TractId,State,County,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
16,48453000101,0,21.0,2,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
17,48453000101,0,22.0,2,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
18,48453000101,1,0.0,6,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
19,48453000101,1,1.0,6,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
20,48453000101,1,2.0,5,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
21,48453000101,1,7.0,1,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
22,48453000101,1,8.0,2,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
23,48453000101,1,9.0,4,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
24,48453000101,1,10.0,15,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
25,48453000101,1,11.0,4,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
26,48453000101,1,12.0,3,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
27,48453000101,1,13.0,6,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
28,48453000101,1,14.0,7,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
29,48453000101,1,15.0,14,48453000101,Texas,Travis County,4263,1911,2352,9.3,85.7,0.6,0.3,1.6,0.0,3381,101944,15434,67043,7429,6.3,4.0,64.6,8.4,17.9,2.8,6.2,79.4,1.5,3.8,0.0,4.3,11.0,17.4,2390,76.1,16.4,7.5,0.0,3.4
